Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.55,-.39,-.26,-.37,-.12,-.23,-.24,-.25,-.27,-.32,-.37,-.49,-.32,***,***,-.25,-.24,-.32
1881,-.20,-.25,.01,-.02,-.06,-.37,-.06,-.03,-.24,-.40,-.42,-.28,-.19,-.21,-.31,-.02,-.15,-.35
1882,.22,.22,.00,-.36,-.32,-.38,-.37,-.14,-.17,-.53,-.33,-.42,-.22,-.20,.05,-.23,-.30,-.34
1883,-.60,-.68,-.16,-.28,-.33,-.26,-.10,-.26,-.34,-.22,-.41,-.26,-.32,-.34,-.56,-.26,-.21,-.32
1884,-.23,-.12,-.66,-.63,-.42,-.52,-.48,-.51,-.45,-.41,-.48,-.40,-.44,-.43,-.20,-.57,-.50,-.45
1885,-1.00,-.37,-.21,-.53,-.55,-.48,-.39,-.45,-.33,-.30,-.28,.00,-.41,-.44,-.59,-.43,-.44,-.30
1886,-.68,-.68,-.57,-.34,-.35,-.43,-.20,-.47,-.34,-.32,-.45,-.17,-.42,-.40,-.45,-.42,-.37,-.37
1887,-1.07,-.58,-.37,-.43,-.28,-.21,-.23,-.52,-.17,-.40,-.20,-.44,-.41,-.39,-.61,-.36,-.32,-.26
1888,-.53,-.60,-.58,-.24,-.16,-.04,.03,-.20,-.12,.03,-.03,-.26,-.23,-.24,-.52,-.33,-.07,-.04
1889,-.31,.34,.06,.14,-.05,-.13,-.10,-.17,-.27,-.34,-.61,-.56,-.17,-.14,-.08,.05,-.13,-.41
1890,-.65,-.56,-.44,-.36,-.49,-.21,-.24,-.38,-.40,-.08,-.70,-.43,-.41,-.42,-.59,-.43,-.28,-.39
1891,-.59,-.68,-.12,-.32,-.21,-.15,-.12,-.09,-.03,-.26,-.56,-.02,-.26,-.30,-.57,-.22,-.12,-.28
1892,-.45,-.16,-.56,-.47,-.28,-.11,-.38,-.28,-.13,-.22,-.81,-.65,-.37,-.32,-.21,-.44,-.26,-.39
1893,-1.47,-.89,-.28,-.30,-.44,-.22,-.13,-.33,-.22,-.23,-.26,-.64,-.45,-.45,-1.00,-.34,-.23,-.24
1894,-.87,-.43,-.20,-.59,-.33,-.48,-.24,-.22,-.26,-.24,-.47,-.31,-.39,-.41,-.64,-.38,-.31,-.32
1895,-.73,-.77,-.39,-.23,-.30,-.26,-.18,-.24,.02,-.04,-.05,-.24,-.29,-.29,-.60,-.31,-.23,-.03
1896,-.44,-.21,-.49,-.61,-.22,.01,-.02,-.07,-.05,.14,-.25,-.18,-.20,-.20,-.30,-.44,-.03,-.05
1897,-.38,-.35,-.39,-.06,.06,-.13,-.01,-.09,-.03,-.13,-.26,-.28,-.17,-.16,-.30,-.13,-.08,-.14
1898,.03,-.45,-.77,-.30,-.30,-.11,-.14,-.15,-.16,-.34,-.45,-.26,-.28,-.29,-.23,-.46,-.13,-.32
1899,-.13,-.67,-.53,-.20,-.27,-.38,-.20,-.03,.00,.06,.38,-.48,-.20,-.18,-.35,-.33,-.20,.15
1900,-.60,-.06,.12,-.14,-.03,-.14,-.13,-.07,.02,.25,-.15,.00,-.08,-.12,-.38,-.02,-.12,.04
1901,-.34,.08,.35,.11,-.12,.03,.02,-.13,-.26,-.31,-.19,-.40,-.10,-.06,-.09,.11,-.03,-.26
1902,-.15,.13,-.37,-.39,-.43,-.43,-.32,-.30,-.32,-.29,-.49,-.64,-.34,-.31,-.14,-.40,-.35,-.37
1903,-.22,.20,-.14,-.45,-.48,-.51,-.45,-.59,-.47,-.47,-.44,-.55,-.38,-.39,-.22,-.36,-.52,-.46
1904,-.82,-.57,-.40,-.57,-.49,-.52,-.60,-.52,-.57,-.37,-.11,-.35,-.49,-.51,-.64,-.49,-.55,-.35
1905,-.50,-.81,-.24,-.46,-.33,-.32,-.24,-.24,-.14,-.25,.06,-.25,-.31,-.32,-.55,-.34,-.27,-.11
1906,-.55,-.58,-.17,.06,-.23,-.10,-.28,-.12,-.20,-.14,-.40,.01,-.22,-.25,-.46,-.12,-.17,-.24
1907,-.54,-.72,-.27,-.48,-.61,-.52,-.42,-.37,-.36,-.20,-.59,-.59,-.47,-.42,-.42,-.45,-.44,-.39
1908,-.53,-.25,-.67,-.48,-.37,-.37,-.40,-.56,-.30,-.44,-.59,-.54,-.46,-.46,-.46,-.51,-.44,-.45
1909,-.86,-.47,-.61,-.68,-.52,-.52,-.43,-.31,-.31,-.28,-.10,-.54,-.47,-.47,-.62,-.60,-.42,-.23
1910,-.39,-.42,-.48,-.37,-.32,-.44,-.39,-.41,-.37,-.26,-.55,-.79,-.43,-.41,-.45,-.39,-.41,-.40
1911,-.73,-.58,-.60,-.43,-.47,-.32,-.38,-.40,-.31,-.12,-.12,-.30,-.40,-.44,-.70,-.50,-.37,-.18
1912,-.35,-.11,-.55,-.22,-.15,-.18,-.55,-.76,-.71,-.82,-.48,-.57,-.46,-.43,-.25,-.31,-.50,-.67
1913,-.57,-.58,-.45,-.50,-.61,-.56,-.56,-.48,-.43,-.42,-.12,.10,-.43,-.49,-.57,-.52,-.53,-.32
1914,.18,-.11,-.30,-.37,-.24,-.27,-.37,-.23,-.24,-.01,-.26,-.12,-.19,-.18,.06,-.30,-.29,-.17
1915,-.19,-.03,-.22,.06,-.05,-.10,-.07,-.14,-.14,-.28,-.03,-.16,-.11,-.11,-.11,-.07,-.11,-.15
1916,-.01,-.11,-.39,-.34,-.33,-.44,-.31,-.32,-.42,-.27,-.36,-1.10,-.37,-.29,-.10,-.35,-.36,-.35
1917,-.57,-.64,-.69,-.57,-.74,-.49,-.33,-.40,-.24,-.57,-.22,-1.08,-.55,-.55,-.77,-.67,-.40,-.35
1918,-.58,-.39,-.24,-.62,-.54,-.43,-.38,-.33,-.22,-.03,-.21,-.52,-.37,-.42,-.68,-.46,-.38,-.15
1919,-.38,-.38,-.36,-.24,-.44,-.41,-.34,-.29,-.14,-.07,-.47,-.54,-.34,-.34,-.43,-.35,-.35,-.23
1920,-.08,-.19,.08,-.24,-.22,-.25,-.23,-.28,-.30,-.39,-.43,-.65,-.26,-.26,-.27,-.13,-.25,-.37
1921,.25,-.09,-.06,-.14,-.22,-.13,-.02,-.23,-.13,.02,-.07,-.11,-.08,-.12,-.16,-.14,-.13,-.06
1922,-.37,-.61,-.07,-.16,-.20,-.16,-.24,-.31,-.36,-.29,-.11,-.13,-.25,-.25,-.37,-.14,-.24,-.25
1923,-.22,-.43,-.40,-.52,-.40,-.19,-.24,-.22,-.12,.13,.23,.13,-.19,-.21,-.26,-.44,-.22,.08
1924,-.25,-.20,.06,-.27,-.06,-.16,-.15,-.21,-.18,-.20,.14,-.36,-.15,-.11,-.11,-.09,-.17,-.08
1925,-.24,-.36,-.18,-.15,-.23,-.24,-.24,-.13,.02,-.07,.22,.27,-.11,-.16,-.32,-.18,-.20,.06
1926,.51,.26,.37,-.11,-.21,-.16,-.14,-.06,-.01,.09,.18,-.26,.04,.08,.35,.02,-.12,.09
1927,-.27,-.08,-.42,-.28,-.13,-.10,-.02,-.08,.08,.27,.15,-.36,-.10,-.09,-.20,-.28,-.07,.17
1928,.30,.13,-.26,-.30,-.14,-.28,-.08,-.16,-.09,-.04,.07,-.06,-.08,-.10,.02,-.23,-.17,-.02
1929,-.55,-.80,-.16,-.31,-.27,-.34,-.30,-.14,-.15,.04,.00,-.63,-.30,-.25,-.47,-.25,-.26,-.04
1930,-.10,-.18,.17,-.14,-.18,-.10,.02,.10,.04,.11,.43,.09,.02,-.04,-.30,-.05,.01,.19
1931,.06,-.28,.01,-.14,-.12,.18,.11,.12,.19,.32,.16,.04,.05,.06,-.04,-.08,.14,.22
1932,.40,-.20,-.21,.11,-.11,-.14,-.12,-.08,.10,.14,-.28,-.17,-.05,-.03,.08,-.07,-.11,-.01
1933,-.36,-.37,-.30,-.18,-.25,-.28,-.11,-.15,-.22,-.10,-.21,-.55,-.26,-.22,-.30,-.24,-.18,-.18
1934,-.20,.33,-.32,-.26,.05,-.02,-.02,-.07,-.13,.12,.29,.18,.00,-.07,-.14,-.18,-.04,.09
1935,-.38,.61,.07,-.31,-.32,-.13,-.04,-.05,-.03,.10,-.34,-.20,-.08,-.05,.13,-.18,-.08,-.09
1936,-.29,-.50,-.13,-.04,-.02,.07,.14,.04,.07,.05,.07,.14,-.03,-.06,-.33,-.06,.08,.06
1937,-.01,.29,-.15,-.06,.09,.15,.15,.17,.34,.34,.27,-.07,.13,.14,.14,-.04,.15,.32
1938,.25,.19,.32,.30,.02,-.08,-.02,.09,.20,.27,.26,-.29,.13,.14,.13,.21,.00,.24
1939,.00,-.02,-.25,-.05,-.02,-.01,.03,.07,.14,.09,.23,.83,.09,-.01,-.10,-.11,.03,.15
1940,-.19,.24,.17,.32,.14,.10,.15,.03,.22,.23,.32,.31,.17,.21,.29,.21,.09,.26
1941,.26,.52,.10,.16,.19,.19,.24,.18,.11,.47,.21,.18,.23,.24,.36,.15,.20,.26
