Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.03,.03,.05,-.02,-.12,-.24,-.18,.06,-.05,-.14,-.02,.04,-.05,***,***,-.03,-.12,-.07
1881,-.11,-.09,.06,.10,.09,-.04,-.07,-.02,-.04,-.02,-.01,.07,-.01,-.01,-.05,.09,-.04,-.02
1882,.06,.08,.07,-.01,.00,-.13,-.04,.03,-.03,.03,.00,-.08,.00,.01,.07,.02,-.05,.00
1883,-.04,-.10,-.09,-.06,-.07,.01,-.06,-.04,-.08,-.06,-.04,-.05,-.06,-.06,-.07,-.08,-.03,-.06
1884,-.07,-.05,-.09,-.23,-.32,-.30,-.22,-.03,-.10,-.08,-.12,-.17,-.15,-.14,-.06,-.21,-.18,-.10
1885,-.20,-.24,-.30,-.33,-.29,-.41,-.33,-.19,-.16,-.10,-.13,-.10,-.23,-.24,-.20,-.31,-.31,-.13
1886,-.18,-.24,-.21,-.22,-.18,-.35,-.24,-.21,-.17,-.25,-.18,-.34,-.23,-.21,-.17,-.20,-.27,-.20
1887,-.39,-.46,-.30,-.34,-.36,-.26,-.23,-.12,-.27,-.24,-.27,-.23,-.29,-.30,-.40,-.34,-.21,-.26
1888,-.22,-.13,-.25,-.20,-.28,-.32,-.21,-.11,-.06,.02,.06,.14,-.13,-.16,-.19,-.24,-.21,.00
1889,.08,.03,.09,.01,.01,-.13,-.09,-.22,-.17,-.10,-.05,-.03,-.05,-.03,.08,.04,-.15,-.11
1890,-.23,-.33,-.35,-.36,-.42,-.32,-.29,-.37,-.38,-.39,-.27,-.18,-.33,-.31,-.20,-.38,-.33,-.35
1891,-.24,-.26,-.24,-.23,-.15,-.25,-.27,-.23,-.24,-.16,-.13,-.05,-.20,-.22,-.23,-.21,-.25,-.18
1892,-.10,-.07,-.14,-.21,-.21,-.35,-.27,-.21,-.13,-.02,-.03,-.12,-.15,-.15,-.07,-.19,-.27,-.06
1893,-.13,-.19,-.17,-.29,-.28,-.34,-.19,-.20,-.19,-.09,-.07,-.06,-.18,-.19,-.15,-.25,-.24,-.12
1894,-.20,-.23,-.28,-.36,-.35,-.39,-.27,-.22,-.23,-.16,-.03,-.08,-.23,-.23,-.16,-.33,-.29,-.14
1895,-.16,-.08,-.18,-.25,-.23,-.21,-.16,-.06,-.18,-.10,-.22,-.06,-.16,-.16,-.11,-.22,-.15,-.17
1896,-.07,-.07,-.02,.00,-.14,-.28,-.04,.00,-.01,.11,.11,.13,-.02,-.04,-.07,-.05,-.11,.07
1897,.09,.05,.12,.02,-.15,-.18,-.11,-.12,-.11,-.10,-.11,-.09,-.06,-.04,.09,-.01,-.14,-.11
1898,-.08,-.14,-.26,-.35,-.33,-.29,-.33,-.34,-.25,-.31,-.29,-.23,-.27,-.26,-.10,-.31,-.32,-.29
1899,-.24,-.14,-.15,-.21,-.20,-.27,-.15,-.09,-.04,-.15,-.12,-.08,-.15,-.17,-.20,-.19,-.17,-.10
1900,-.13,.01,-.08,-.10,-.16,-.09,-.11,-.11,-.09,-.04,-.02,-.12,-.09,-.08,-.07,-.11,-.10,-.05
1901,-.12,-.14,-.18,-.17,-.20,-.27,-.30,-.25,-.17,-.30,-.13,-.15,-.20,-.20,-.13,-.18,-.27,-.20
1902,-.22,-.17,-.19,-.19,-.26,-.24,-.25,-.33,-.23,-.28,-.26,-.25,-.24,-.23,-.18,-.21,-.27,-.26
1903,-.26,-.24,-.31,-.37,-.38,-.40,-.29,-.38,-.50,-.50,-.45,-.49,-.38,-.36,-.25,-.35,-.36,-.48
1904,-.53,-.58,-.60,-.52,-.61,-.50,-.46,-.46,-.48,-.40,-.28,-.33,-.48,-.49,-.53,-.58,-.47,-.39
1905,-.28,-.37,-.21,-.25,-.32,-.27,-.33,-.19,-.21,-.24,-.24,-.09,-.25,-.27,-.33,-.26,-.26,-.23
1906,.01,-.02,-.14,-.14,-.24,-.31,-.21,-.26,-.33,-.23,-.37,-.34,-.22,-.19,-.03,-.17,-.26,-.31
1907,-.28,-.31,-.27,-.29,-.32,-.35,-.31,-.32,-.29,-.27,-.36,-.36,-.31,-.31,-.31,-.29,-.33,-.31
1908,-.33,-.36,-.39,-.42,-.45,-.45,-.38,-.36,-.41,-.45,-.41,-.44,-.40,-.40,-.35,-.42,-.40,-.42
1909,-.50,-.46,-.40,-.51,-.59,-.52,-.46,-.31,-.38,-.44,-.51,-.55,-.47,-.46,-.47,-.50,-.43,-.44
1910,-.49,-.45,-.52,-.43,-.36,-.30,-.30,-.31,-.34,-.49,-.52,-.53,-.42,-.42,-.50,-.44,-.30,-.45
1911,-.52,-.57,-.59,-.63,-.56,-.62,-.44,-.43,-.43,-.33,-.23,-.11,-.46,-.49,-.54,-.59,-.50,-.33
1912,-.16,-.11,-.13,-.16,-.26,-.31,-.32,-.31,-.30,-.30,-.26,-.28,-.24,-.23,-.13,-.18,-.31,-.29
1913,-.25,-.26,-.40,-.28,-.31,-.39,-.15,-.19,-.27,-.24,-.23,-.15,-.26,-.27,-.27,-.33,-.24,-.25
1914,-.09,-.10,-.13,-.19,-.20,-.24,-.11,-.04,-.01,-.05,-.08,-.02,-.10,-.12,-.11,-.17,-.13,-.04
1915,-.14,.04,.05,.08,-.07,-.29,-.12,-.24,-.18,-.20,-.21,-.16,-.12,-.11,-.04,.02,-.22,-.20
1916,-.16,-.13,-.16,-.25,-.31,-.49,-.41,-.19,-.22,-.27,-.44,-.50,-.29,-.27,-.15,-.24,-.36,-.31
1917,-.61,-.59,-.52,-.45,-.36,-.37,-.17,-.04,-.11,-.23,-.34,-.27,-.34,-.36,-.57,-.44,-.20,-.23
1918,-.27,-.23,-.26,-.28,-.37,-.28,-.25,-.26,-.07,-.05,.03,.00,-.19,-.21,-.26,-.30,-.26,-.03
1919,-.01,-.06,-.02,-.01,-.10,-.31,-.23,-.36,-.29,-.29,-.33,-.28,-.19,-.17,-.02,-.04,-.30,-.30
1920,-.35,-.24,-.24,-.28,-.32,-.46,-.39,-.21,-.08,-.14,-.09,-.21,-.25,-.26,-.29,-.28,-.35,-.10
1921,-.30,-.30,-.38,-.45,-.35,-.41,-.28,-.23,-.20,-.06,-.19,-.20,-.28,-.28,-.27,-.39,-.31,-.15
1922,-.29,-.25,-.19,-.32,-.47,-.47,-.29,-.31,-.29,-.36,-.19,-.25,-.30,-.30,-.25,-.33,-.35,-.28
1923,-.36,-.32,-.29,-.28,-.29,-.33,-.35,-.37,-.41,-.33,-.20,-.15,-.31,-.31,-.31,-.29,-.35,-.31
1924,-.16,-.25,-.17,-.34,-.29,-.29,-.37,-.46,-.42,-.47,-.52,-.48,-.35,-.33,-.19,-.27,-.37,-.47
1925,-.51,-.42,-.32,-.36,-.36,-.41,-.31,-.19,-.32,-.26,-.12,-.07,-.30,-.34,-.47,-.35,-.30,-.24
1926,-.11,-.11,-.13,-.12,-.21,-.26,-.32,-.18,-.21,-.24,-.25,-.27,-.20,-.19,-.10,-.15,-.26,-.24
1927,-.26,-.27,-.29,-.33,-.37,-.40,-.33,-.31,-.26,-.24,-.19,-.26,-.29,-.29,-.26,-.33,-.35,-.23
1928,-.28,-.26,-.26,-.24,-.43,-.44,-.28,-.27,-.25,-.28,-.21,-.27,-.29,-.29,-.27,-.31,-.33,-.25
1929,-.35,-.37,-.46,-.46,-.48,-.45,-.36,-.44,-.29,-.26,-.20,-.40,-.38,-.37,-.33,-.47,-.42,-.25
1930,-.49,-.35,-.32,-.33,-.28,-.28,-.37,-.32,-.27,-.24,-.07,-.18,-.29,-.31,-.42,-.31,-.33,-.19
1931,-.21,-.16,-.13,-.25,-.24,-.29,-.14,-.16,-.30,-.24,-.36,-.21,-.22,-.22,-.18,-.21,-.20,-.30
1932,-.12,-.16,-.17,-.23,-.26,-.43,-.34,-.37,-.32,-.33,-.23,-.33,-.27,-.26,-.16,-.22,-.38,-.29
1933,-.31,-.29,-.28,-.33,-.33,-.38,-.32,-.34,-.32,-.31,-.39,-.37,-.33,-.33,-.31,-.31,-.35,-.34
1934,-.31,-.43,-.34,-.35,-.28,-.28,-.18,-.15,-.20,-.27,-.22,-.25,-.27,-.28,-.37,-.32,-.20,-.23
1935,-.28,-.33,-.33,-.40,-.29,-.40,-.40,-.38,-.37,-.25,-.21,-.19,-.32,-.32,-.28,-.34,-.39,-.27
1936,-.28,-.26,-.31,-.35,-.34,-.48,-.31,-.31,-.25,-.13,-.14,-.20,-.28,-.28,-.24,-.33,-.37,-.17
1937,-.27,-.22,-.21,-.27,-.25,-.24,-.24,-.13,-.11,-.16,-.08,-.16,-.20,-.20,-.23,-.24,-.20,-.12
1938,-.23,-.24,-.18,-.23,-.23,-.29,-.19,-.24,-.18,-.07,-.21,-.16,-.20,-.20,-.21,-.21,-.24,-.15
1939,-.17,-.16,-.15,-.15,-.11,-.15,-.19,-.21,-.28,-.16,-.12,.06,-.15,-.17,-.17,-.14,-.18,-.19
1940,.10,.02,.14,.05,.06,.06,.09,.07,.05,-.05,.04,.26,.07,.06,.06,.08,.07,.01
1941,.18,.14,.08,.20,.12,.07,.20,.12,-.05,.22,.28,.25,.15,.15,.19,.13,.13,.15
1942,.20,.13,.11,.10,.06,-.01,-.01,.01,-.16,-.26,-.10,-.04,.00,.03,.19,.09,-.01,-.17
1943,.05,-.06,-.10,-.12,-.10,-.04,.17,-.10,-.04,.00,.02,.08,-.02,-.03,-.02,-.11,.01,-.01
1944,.08,.05,.21,.21,.15,.23,.24,.21,.22,.09,.00,.08,.15,.15,.07,.19,.23,.10
